day,timestamp,abs_timestamp,submitted_orders,executed_fills,pending_orders_next_step,conversions,positions_total_abs,total_pnl,orders,stdout
-2,0,-2000000,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4996@9 | TOMATOES:5004@-9,
-2,100,-1999900,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4999@7 | TOMATOES:5005@-7,
-2,200,-1999800,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4997@9 | TOMATOES:5005@-9,
-2,300,-1999700,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4997@8 | TOMATOES:5006@-8,
-2,400,-1999600,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4997@8 | TOMATOES:5006@-8,
-2,500,-1999500,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4997@9 | TOMATOES:5005@-9,
-2,600,-1999400,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4996@8 | TOMATOES:5005@-8,
-2,700,-1999300,4,0,4,0,0,0.0,EMERALDS:9997@8 | EMERALDS:9999@-8 | TOMATOES:4996@9 | TOMATOES:5004@-9,
-2,800,-1999200,4,0,4,0,0,0.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4996@9 | TOMATOES:5004@-9,
-2,900,-1999100,4,0,4,0,2,6.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4997@9 | TOMATOES:5006@-9,
-2,1000,-1999000,4,0,4,0,2,7.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4997@8 | TOMATOES:5005@-8,
-2,1100,-1998900,4,0,4,0,2,8.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4996@9 | TOMATOES:5005@-9,
-2,1200,-1998800,4,0,4,0,2,7.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4997@8 | TOMATOES:5005@-8,
-2,1300,-1998700,4,0,4,0,2,2.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:5000@7 | TOMATOES:5005@-7,
-2,1400,-1998600,4,0,4,0,2,10.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4995@9 | TOMATOES:5004@-9,
-2,1500,-1998500,4,0,4,0,2,10.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4995@9 | TOMATOES:5004@-9,
-2,1600,-1998400,4,0,4,0,2,10.0,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4995@9 | TOMATOES:5004@-9,
-2,1700,-1998300,4,0,4,0,5,22.5,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4996@8 | TOMATOES:5004@-8,
-2,1800,-1998200,4,0,4,0,5,22.5,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4996@8 | TOMATOES:5004@-8,
-2,1900,-1998100,4,0,4,0,5,27.5,EMERALDS:9996@8 | EMERALDS:10004@-8 | TOMATOES:4995@8 | TOMATOES:5003@-8,
